Traffic_Level,ID,Delivery_person_ID,weather_description,Type_of_order,Type_of_vehicle,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,temperature,humidity,precipitation,Distance (km),TARGET
High,70A2,CHENRES12DEL01,mist,Snack,scooter,32,4.6,12.972.793,80.249.982,13.012.793,80.289.982,26.55,87,0,9.89,43.45
High,95B4,RANCHIRES15DEL01,clear sky,Meal,scooter,33,4.7,23.369.746,8.533.982,23.479.746,8.544.982,17.51,69,0,19.11,3.816.666.667
High,CDCD,DEHRES17DEL01,clear sky,Snack,motorcycle,36,4.2,30.327.968,78.046.106,30.397.968,78.116.106,12.44,77,0,11.59,3.636.666.667
High,2784,PUNERES13DEL03,clear sky,Drinks,scooter,23,4.7,1.856.245,73.916.619,1.865.245,74.006.619,19.37,65,0,21.93,49.45
High,6F67,HYDRES14DEL01,overcast clouds,Snack,motorcycle,34,4.9,17.426.228,78.407.495,17.496.228,78.477.495,21.29,64,0,18.26,5.248.333.333
High,539B,MUMRES02DEL01,clear sky,Buffet,motorcycle,25,4,19.221.315,72.862.381,19.261.315,72.902.381,24.51,47,0,8.97,3.461.666.667
High,8BC0,SURRES15DEL03,clear sky,Drinks,scooter,35,4.3,21.160.522,72.771.477,21.250.522,72.861.477,22.92,43,0,16.08,4.416.666.667
High,30C8,PUNERES19DEL02,clear sky,Drinks,scooter,32,4.6,18.563.934,73.915.367,18.693.935,74.045.367,19.15,64,0,26.35,5.438.333.333
High,B843,PUNERES02DEL01,clear sky,Snack,motorcycle,33,4.9,1.855.144,73.804.855,1.862.144,73.874.855,18.97,65,0,17.24,4.746.666.667
High,9B18,BANGRES17DEL01,mist,Snack,motorcycle,22,4.8,12.972.532,77.608.179,13.042.532,77.678.179,19.7,93,0,12.08,4.728.333.333
High,4F0,MUMRES17DEL02,clear sky,Drinks,scooter,29,4.6,19.121.999,72.908.493,19.201.999,72.988.493,24.42,49,0,19.19,46.25
High,6999,MUMRES02DEL03,clear sky,Drinks,electric_scooter,23,4.9,19.221.315,72.862.381,19.281.315,72.922.381,24.96,48,0,13.2,4.061.666.667
High,63B6,BANGRES05DEL03,mist,Drinks,scooter,27,4.9,12.970.324,77.645.748,13.030.324,77.705.748,19.84,93,0,11.37,4.418.333.333
High,A30B,CHENRES11DEL01,mist,Drinks,motorcycle,37,4.8,13.064.181,80.236.442,13.104.181,80.276.442,26.14,88,0,8.68,46.45
High,7AC8,COIMBRES14DEL02,mist,Drinks,motorcycle,28,4.8,11.003.681,76.975.525,11.083.681,77.055.525,23.97,78,0,15.83,50.35
High,272D,COIMBRES07DEL03,mist,Buffet,motorcycle,24,4.7,1.096.185,76.971.082,1.105.185,77.061.082,24.04,78,0,19.07,4.971.666.667
High,73CC,SURRES12DEL01,clear sky,Drinks,scooter,30,4.4,21.183.434,72.814.492,21.253.434,72.884.492,22.83,42,0,14.97,42.3
High,A9F,BANGRES13DEL01,mist,Drinks,scooter,29,4.6,12.935.662,7.761.413,12.975.662,7.765.413,20.21,91,0,11.19,4.548.333.333
High,4B7F,HYDRES13DEL03,broken clouds,Buffet,motorcycle,26,4.7,17.431.477,7.840.035,17.491.477,7.846.035,21.4,64,0,15.46,4.558.333.333
High,56AD,HYDRES04DEL03,broken clouds,Buffet,motorcycle,24,4.6,17.411.028,78.329.645,17.471.028,78.389.645,21.27,65,0,12.62,3.636.666.667
High,C19E,AURGRES08DEL02,mist,Buffet,motorcycle,37,4.6,19.876.428,75.364.792,19.956.428,75.444.792,16.17,82,0,15.46,4.021.666.667
High,3.50E+07,JAPRES15DEL03,haze,Buffet,electric_scooter,36,4.8,26.891.191,75.802.083,26.981.191,75.892.083,19.97,68,0,17.59,4.791.666.667
High,9.70E+04,MYSRES16DEL02,scattered clouds,Drinks,motorcycle,29,5,12.316.967,76.603.067,12.366.967,76.653.067,18.28,81,0,13.43,48.2
High,22AD,BANGRES03DEL03,fog,Buffet,motorcycle,27,4.6,12.979.166,77.640.709,13.069.166,77.730.709,19.22,93,0,18.4,4.681.666.667
High,9F99,MUMRES11DEL01,smoke,Snack,scooter,23,4.8,18.994.237,72.825.553,19.104.237,72.935.553,27.03,44,0,19.59,5.281.666.667
High,1.00E+42,SURRES08DEL01,clear sky,Drinks,motorcycle,25,4.6,21.173.343,72.792.731,21.283.343,72.902.731,22.85,43,0,21.81,5.231.666.667
High,DDC8,KNPRES05DEL02,clear sky,Meal,scooter,39,4.7,26.479.108,80.315.042,26.499.108,80.335.042,21.81,55,0,9.52,33.3
High,24AC,SURRES05DEL02,clear sky,Snack,motorcycle,27,4.6,21.175.104,72.804.342,21.255.104,72.884.342,22.88,43,0,16.35,40.8
High,628C,BANGRES15DEL02,mist,Snack,scooter,31,4.8,12.975.377,77.696.664,13.025.377,77.746.664,19.58,93,0,16.6,4.573.333.333
High,6C38,RANCHIRES11DEL03,clear sky,Buffet,electric_scooter,31,4.8,23.359.194,85.325.447,23.419.194,85.385.447,17.84,68,0,11.34,4.143.333.333
High,8339,RANCHIRES07DEL02,clear sky,Drinks,motorcycle,36,4.9,23.359.407,85.325.055,23.439.407,85.405.055,17.58,69,0,15.03,4.601.666.667
High,3EC5,RANCHIRES01DEL03,clear sky,Meal,motorcycle,20,4.9,23.416.792,85.316.842,23.506.792,85.406.842,17.41,69,0,18.92,35.45
High,6.00E+02,VADRES06DEL01,clear sky,Snack,electric_scooter,29,4.6,2.231.279,73.170.283,2.242.279,73.280.283,22.47,44,0,20.29,4.428.333.333
High,2BC0,INDORES14DEL01,clear sky,Snack,scooter,39,4.2,22.761.593,75.886.362,22.871.593,75.996.362,17.32,53,0,24.35,4.911.666.667
High,39EF,CHENRES11DEL01,mist,Drinks,motorcycle,32,4.9,13.064.181,80.236.442,13.104.181,80.276.442,26.14,88,0,8.68,4.663.333.333
High,9A29,RANCHIRES04DEL01,clear sky,Snack,scooter,33,4.7,23.359.033,85.325.347,23.469.033,85.435.347,17.88,67,0,19.03,4.531.666.667
High,4008,SURRES010DEL02,clear sky,Meal,electric_scooter,29,4.6,2.117.106,72.789.292,2.125.106,72.869.292,22.9,43,0,14.52,33.15
High,81A5,BANGRES04DEL03,mist,Buffet,motorcycle,26,4.4,1.298.041,77.640.489,1.304.041,77.700.489,19.5,93,0,13.6,4.321.666.667
High,AE56,COIMBRES02DEL01,mist,Snack,motorcycle,24,4.6,11.022.477,76.995.667,11.132.477,77.105.667,25.15,73,0,21.28,5.013.333.333
High,596A,COIMBRES03DEL02,mist,Drinks,motorcycle,20,4.7,11.025.083,77.015.393,11.105.083,77.095.393,25.02,73,0,15.95,4.543.333.333
High,78AA,MYSRES16DEL02,scattered clouds,Meal,motorcycle,20,5,12.316.967,76.603.067,12.446.967,76.733.067,18.12,77,0,26.21,3.933.333.333
High,8.70E+05,VADRES13DEL03,clear sky,Meal,motorcycle,36,4,22.310.237,73.158.921,22.400.237,73.248.921,22.48,43,0,18.92,3.173.333.333
